ms_zoning,lot_area,land_contour,land_slope,neighborhood,condition_1,bldg_type,house_style,year_built,year_remod_add,mas_vnr_type,garage_area,wood_deck_sf,open_porch_sf,kitchen_qual,bedroom_abvgr,sale_type,saleprice,qual_cond,exter_qual_cond,bsmt_qual_cond,fireplaces_weighted,sq_ft,bsmt_weighted_sf,bath
RL,7980,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,1992,2007,None,420.0,483,21,3,3,WD ,185000,42,12,12,0,1187,1051.5,2.0
RL,34650,Bnk,Gtl,Gilbert,Norm,2fmCon,1Story,1955,1955,None,572.0,264,0,3,3,WD ,145000,25,9,9,0,1056,1056.0,1.0
RL,10573,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1961,1961,BrkFace,530.0,0,49,3,3,WD ,187500,36,9,9,3,1453,1382.5,2.0
RL,8450,Lvl,Gtl,Sawyer,RRAe,1Fam,1Story,1965,2009,None,336.0,416,144,3,3,WD ,138500,40,12,9,4,894,665.0,1.0
RL,11700,HLS,Mod,Crawfor,Norm,1Fam,1.5Fin,1937,1995,None,240.0,0,40,4,4,WD ,198000,30,9,9,4,1938,774.0,2.0
C (all),8250,Lvl,Gtl,IDOTRR,Feedr,2fmCon,2Story,1895,2006,None,0.0,0,0,3,4,WD ,119600,30,12,9,0,1991,478.5,2.0
RL,8064,Lvl,Gtl,NAmes,Artery,1Fam,1.5Fin,1949,2006,None,576.0,0,0,3,3,WD ,122900,35,12,9,1,924,336.0,1.0
RL,9600,Lvl,Gtl,NWAmes,PosN,1Fam,1Story,1981,1981,None,542.0,474,120,4,4,WD ,278000,40,12,12,4,2524,1814.0,2.5
RL,11435,HLS,Mod,Crawfor,Norm,1Fam,2Story,1929,1950,None,400.0,0,0,4,3,WD ,230000,56,9,12,8,1517,396.0,1.0
RL,9549,Lvl,Gtl,Veenker,Norm,TwnhsE,1Story,1995,1996,None,481.0,0,30,5,2,WD ,270000,40,16,16,4,1494,437.0,1.5
RL,10950,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1952,1952,None,410.0,0,48,3,2,WD ,125000,36,9,9,0,948,694.5,1.0
RL,10637,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,2007,2008,Stone,826.0,208,44,4,3,WD ,297000,40,12,15,4,1718,1496.5,2.0
RL,9000,HLS,Mod,NAmes,Norm,1Fam,1Story,1958,1958,BrkFace,384.0,0,28,3,2,WD ,113500,36,9,12,4,1142,80.0,1.0
RM,2665,Lvl,Gtl,MeadowV,Norm,TwnhsE,2Story,1977,1977,None,336.0,104,26,3,4,WD ,127000,30,9,9,3,1475,566.0,2.0
RL,11751,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1977,1977,BrkFace,546.0,0,122,3,3,COD,190000,36,9,12,3,1844,1274.5,2.0
RL,9600,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1973,1973,BrkFace,528.0,0,0,3,3,WD ,175500,42,9,9,3,1242,1079.0,1.5
RL,8428,Lvl,Gtl,CollgCr,Norm,1Fam,1Story,1994,1994,None,384.0,256,0,3,3,WD ,146000,35,12,16,0,990,705.0,1.0
RL,9937,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1965,1965,None,276.0,736,68,3,3,WD ,147500,30,12,9,0,1256,898.0,1.5
RL,13891,Lvl,Gtl,NridgHt,Norm,1Fam,1Story,2006,2006,None,850.0,216,229,5,2,New,465000,50,15,20,4,2076,1731.0,2.5
RL,9101,Lvl,Gtl,Mitchel,Norm,1Fam,SFoyer,1978,1978,BrkFace,602.0,303,30,4,1,WD ,165500,30,12,12,3,1110,1097.0,1.0
RM,12150,Lvl,Gtl,OldTown,Norm,1Fam,1.5Fin,1954,1954,BrkFace,352.0,0,0,3,4,WD ,131500,25,9,9,0,1795,525.0,2.0
RL,11200,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1965,1965,None,384.0,0,0,3,3,WD ,129500,25,9,9,0,1040,973.0,1.0
RL,9670,HLS,Mod,Crawfor,Norm,1Fam,2Story,1935,1950,Stone,786.0,0,0,3,4,WD ,257076,48,9,6,8,1873,409.0,1.5
RL,10998,Lvl,Gtl,Edwards,Norm,1Fam,1.5Fin,1941,1960,None,660.0,0,68,3,3,WD ,117000,25,9,9,0,1604,486.0,2.0
RL,7200,HLS,Mod,Crawfor,Norm,1Fam,2Story,1931,2000,None,270.0,0,0,3,3,WD ,149000,42,6,12,4,1502,388.0,1.5
RL,9920,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1954,1954,Stone,280.0,0,0,3,3,WD ,128000,25,9,9,0,1063,560.0,1.0
RL,2448,Lvl,Gtl,NridgHt,Norm,Twnhs,2Story,2003,2004,Stone,474.0,0,27,4,2,WD ,155000,35,12,12,0,1626,382.0,2.5
FV,2998,Lvl,Gtl,Somerst,Norm,TwnhsE,2Story,2000,2000,BrkFace,440.0,0,32,4,2,WD ,166000,30,12,12,0,1524,554.5,2.5
RL,7804,Lvl,Gtl,SWISU,Norm,1Fam,1.5Fin,1928,1950,None,576.0,431,44,4,4,WD ,135000,12,9,9,6,1981,872.0,2.0
RL,16692,Lvl,Gtl,NWAmes,RRAn,1Fam,2Story,1978,1978,BrkFace,564.0,0,112,4,5,WD ,250000,35,9,12,6,2784,856.5,3.5
RM,1476,Lvl,Gtl,MeadowV,Norm,Twnhs,2Story,1970,1970,None,0.0,200,26,3,3,WD ,76000,28,9,9,0,1092,361.0,1.5
RL,10170,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1951,1951,BrkFace,400.0,0,0,4,2,WD ,155000,36,9,9,4,1575,108.0,1.5
RL,9364,Lvl,Gtl,Sawyer,Norm,1Fam,2Story,1969,1969,Stone,299.0,379,36,3,4,WD ,158000,42,9,9,0,1352,517.0,1.5
FV,2544,Lvl,Gtl,Somerst,Norm,Twnhs,2Story,2004,2005,None,480.0,0,172,4,2,WD ,149500,35,12,12,0,1200,463.0,2.5
RL,9888,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1954,1975,None,240.0,0,0,3,2,WD ,121000,30,12,9,0,936,711.0,1.0
RL,7942,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1953,1953,None,293.0,0,0,3,3,WD ,136000,42,9,9,0,1040,85.0,1.0
RL,15038,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,1996,1996,None,386.0,168,84,3,3,WD ,173000,30,9,12,3,1636,527.0,2.5
RL,11764,Lvl,Gtl,NoRidge,Norm,1Fam,2Story,1999,2007,BrkFace,671.0,132,57,4,4,WD ,290000,56,12,12,4,2270,838.0,2.5
FV,9000,Lvl,Gtl,Somerst,Norm,1Fam,2Story,2007,2007,None,550.0,208,364,5,4,New,303477,40,12,12,4,2610,624.0,2.5
RL,20062,Low,Mod,ClearCr,Norm,1Fam,1Story,1977,2001,None,690.0,496,0,3,1,WD ,270000,49,16,12,6,1483,1256.0,1.5
RM,7308,Lvl,Gtl,OldTown,Artery,1Fam,1.5Fin,1920,1950,None,225.0,0,0,5,2,WD ,122250,25,4,9,4,1740,648.0,1.0
RL,8750,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1955,1955,None,350.0,280,0,4,3,WD ,153000,25,9,9,0,1382,535.5,1.0
RL,8402,Lvl,Gtl,Mitchel,Feedr,1Fam,1Story,2007,2007,None,0.0,0,30,3,3,New,147000,25,9,12,0,1120,663.0,1.0
RL,4000,Lvl,Gtl,Crawfor,Norm,1Fam,2Story,1930,1995,None,216.0,0,0,3,2,WD ,148500,56,9,12,4,1098,388.5,1.0
RM,3363,Lvl,Gtl,Edwards,Norm,TwnhsE,2Story,2004,2004,Stone,380.0,0,40,4,3,WD ,130000,35,12,12,0,1708,488.0,2.0
RL,13615,HLS,Mod,NridgHt,Norm,1Fam,1Story,2006,2006,Stone,843.0,158,105,5,3,WD ,372000,45,15,15,4,1802,901.0,2.5
RL,3013,Lvl,Gtl,Blmngtn,Norm,TwnhsE,1Story,2005,2005,BrkFace,440.0,142,20,4,2,WD ,213490,35,12,12,4,1506,689.0,2.0
RL,17485,Lvl,Gtl,Edwards,Norm,1Fam,1Story,2009,2010,Stone,572.0,0,0,4,1,Con,308030,35,12,12,6,1508,1427.0,1.0
RL,23730,Lvl,Gtl,Mitchel,Norm,1Fam,1Story,1996,1997,BrkFace,786.0,0,46,4,3,WD ,300000,35,12,15,0,2032,1270.0,3.0
RL,8910,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1959,1959,None,539.0,0,0,3,3,WD ,159500,36,9,9,2,1194,655.0,1.0
RM,2522,Lvl,Gtl,Edwards,Norm,Twnhs,2Story,2004,2004,Stone,380.0,0,40,4,3,WD ,137500,35,12,12,0,1709,485.0,2.0
RL,8688,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2005,2005,BrkFace,834.0,208,59,4,3,WD ,232000,35,12,12,0,1616,808.0,2.0
RM,6291,Lvl,Gtl,IDOTRR,RRNe,1Fam,1Story,1930,1950,None,440.0,0,0,3,1,WD ,93850,36,16,9,0,768,384.0,1.0
RL,17529,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1924,1950,Stone,322.0,0,0,2,2,WD ,105000,25,9,9,4,872,436.0,1.0
RM,6324,Lvl,Gtl,BrkSide,Feedr,1Fam,1Story,1927,1950,None,240.0,49,0,2,1,WD ,68500,24,9,9,0,520,260.0,1.0
RL,11600,Lvl,Gtl,NAmes,Feedr,Duplex,2Story,1960,1960,BrkFace,480.0,0,0,3,5,WD ,154300,25,9,9,0,2274,774.0,2.0
RM,7288,Lvl,Gtl,IDOTRR,Artery,1Fam,1.5Fin,1925,2003,None,0.0,0,0,3,3,WD ,129850,35,16,3,0,1601,468.0,2.0
RM,4571,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1910,1950,None,480.0,280,0,3,3,WD ,114000,35,9,9,0,1232,392.0,1.0
RL,17423,Lvl,Gtl,StoneBr,Norm,1Fam,1Story,2008,2009,Stone,1166.0,0,60,5,1,New,501837,45,15,15,4,2234,2060.0,2.0
RM,12665,Lvl,Gtl,OldTown,Artery,1Fam,1.5Fin,1915,1950,None,720.0,418,0,3,4,WD ,153900,40,9,9,4,1416,438.0,1.5
RL,9000,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1971,2006,None,576.0,200,0,3,3,WD ,130000,28,12,9,0,864,552.0,1.0
RM,4500,Lvl,Gtl,Mitchel,Norm,TwnhsE,1Story,1997,1997,BrkFace,392.0,0,122,3,2,WD ,160500,30,9,15,0,1189,1026.5,2.0
RL,6373,Lvl,Gtl,NridgHt,Norm,TwnhsE,1Story,2006,2006,BrkFace,575.0,228,75,4,2,New,310090,45,15,20,4,1666,1040.5,2.0
RL,10083,Lvl,Gtl,SawyerW,Norm,1Fam,1Story,2003,2003,None,555.0,0,41,4,2,WD ,184900,35,12,12,0,1200,1004.5,2.0
RL,13300,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1956,2000,None,252.0,261,0,3,2,WD ,132000,35,9,12,0,928,652.5,1.0
RL,9600,Lvl,Gtl,NWAmes,Feedr,1Fam,1Story,1969,1969,BrkFace,502.0,312,11,3,3,WD ,163000,25,9,12,2,1336,847.0,2.0
FV,3215,Lvl,Gtl,Somerst,Norm,TwnhsE,2Story,2004,2004,BrkFace,480.0,0,172,4,2,ConLD,155000,35,12,12,0,1200,440.0,2.5
RL,11104,Lvl,Gtl,NWAmes,Norm,1Fam,SLvl,1969,1969,None,516.0,0,0,3,4,WD ,183000,36,9,9,0,1427,1127.5,2.0
RL,15295,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,1996,2002,BrkFace,608.0,225,32,4,3,WD ,211000,35,12,12,6,1992,811.0,2.5
RL,9109,Lvl,Gtl,SawyerW,RRAe,1Fam,2Story,1994,1994,None,495.0,140,32,4,3,WD ,184000,35,12,12,0,1540,97.0,2.5
RL,7018,Bnk,Gtl,SawyerW,Norm,Duplex,1Story,1979,1979,None,400.0,0,0,3,4,WD ,118858,25,9,0,0,1535,0.0,2.0
RL,14112,Lvl,Gtl,NAmes,Norm,1Fam,SLvl,1964,1964,BrkFace,484.0,227,0,3,3,WD ,180500,35,9,9,4,1152,1083.0,1.0
FV,3523,Lvl,Gtl,Somerst,Norm,TwnhsE,1Story,2006,2007,Stone,484.0,0,60,4,2,New,166000,40,12,12,0,1151,600.5,2.0
RL,15312,Lvl,Gtl,Sawyer,Norm,1Fam,SLvl,1960,1960,BrkFace,480.0,0,0,3,3,COD,148000,30,9,9,3,1138,863.0,1.0
RL,7450,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1956,1956,None,396.0,0,72,4,2,WD ,124000,25,9,9,4,1074,563.0,1.0
RL,7313,Lvl,Gtl,NridgHt,Norm,TwnhsE,1Story,2005,2005,BrkFace,556.0,203,47,5,2,WD ,277500,45,15,15,4,1561,1357.0,2.0
RL,10019,Lvl,Gtl,NoRidge,Norm,1Fam,2Story,1995,1995,BrkFace,725.0,307,169,4,4,WD ,350000,40,12,12,5,2726,934.5,2.5
RL,15401,HLS,Gtl,StoneBr,Norm,1Fam,1Story,2004,2004,BrkFace,670.0,214,76,5,2,WD ,387000,45,15,15,4,1884,1610.5,2.0
RL,9098,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1920,2002,None,0.0,0,0,3,2,WD ,86000,28,9,9,0,605,438.0,1.0
RL,16280,Lvl,Gtl,Veenker,Norm,1Fam,1Story,1976,2007,None,550.0,280,90,5,3,WD ,290000,72,25,20,4,1671,1044.0,3.0
C (all),9392,Lvl,Gtl,IDOTRR,Norm,1Fam,1Story,1900,1950,None,0.0,0,36,3,2,WD ,44000,9,6,6,0,797,122.5,1.0
RL,12209,Lvl,Gtl,Mitchel,Norm,1Fam,2Story,2001,2002,None,560.0,125,192,4,3,WD ,215000,30,9,15,3,1961,747.0,2.5
RL,13110,Lvl,Gtl,NWAmes,RRAn,2fmCon,1Story,1972,1972,BrkFace,501.0,140,153,3,2,WD ,146500,30,9,12,0,1193,1057.5,2.0
FV,2651,Lvl,Gtl,Somerst,Norm,Twnhs,2Story,2000,2000,None,490.0,153,50,4,3,WD ,165000,35,12,12,0,1382,657.0,2.5
RM,8520,Lvl,Gtl,OldTown,Artery,1Fam,1.5Fin,1916,1950,None,216.0,88,15,4,5,CWD,136000,42,12,9,4,2526,168.0,2.0
RL,39384,Low,Sev,NAmes,Norm,1Fam,1Story,1957,1957,Stone,550.0,0,189,5,1,WD ,252000,36,9,12,8,1390,1407.5,1.5
RL,2628,Lvl,Gtl,NridgHt,Norm,Twnhs,2Story,2003,2003,Stone,474.0,0,27,4,2,WD ,175500,35,12,12,0,1626,382.0,2.5
RM,6406,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1939,1950,None,400.0,0,36,3,3,WD ,150000,30,9,9,4,1558,555.5,1.5
RL,12342,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1960,1978,None,286.0,0,0,3,3,WD ,139900,25,9,9,3,1422,489.0,1.0
RM,6240,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Fin,1930,1992,None,360.0,0,0,3,3,WD ,162900,35,9,9,4,1573,539.0,2.0
RL,10000,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1962,1962,BrkFace,440.0,0,0,3,3,WD ,160000,36,9,9,0,1116,558.0,1.5
RL,9000,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1947,1950,None,0.0,0,0,2,2,WD ,63900,4,9,0,0,660,0.0,1.0
RL,11088,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1978,1998,BrkFace,479.0,0,0,3,3,WD ,184000,30,9,9,3,1707,986.0,2.0
RL,17755,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1959,1959,BrkFace,528.0,0,140,2,3,WD ,149900,20,9,9,8,1466,821.0,1.5
FV,4765,Lvl,Gtl,Somerst,Norm,TwnhsE,1Story,2000,2000,BrkFace,495.0,230,68,5,2,WD ,300000,45,12,12,3,1638,1320.5,2.0
RL,10532,Lvl,Gtl,ClearCr,Norm,1Fam,1Story,1960,1960,Stone,626.0,50,84,3,3,WD ,145000,15,9,9,6,1721,988.0,2.0
RL,15426,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,1997,1997,None,470.0,276,99,4,3,WD ,231500,30,9,12,0,1764,874.5,2.5
RL,13907,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1940,1969,None,0.0,144,0,3,3,WD ,108000,30,9,9,4,996,643.0,1.0
RL,8750,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1956,1956,None,304.0,0,35,3,3,COD,120000,25,9,9,0,1202,717.5,1.0
RL,9945,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1961,1961,BrkFace,572.0,0,0,3,3,WD ,128500,25,9,9,0,988,907.5,1.0
RM,8960,Lvl,Gtl,OldTown,Artery,1Fam,1Story,1927,1950,None,360.0,0,0,3,2,WD ,115000,30,9,9,4,1028,504.0,1.0
RM,3500,Lvl,Gtl,OldTown,Norm,1Fam,1.5Fin,1947,1950,None,240.0,0,35,3,2,WD ,110000,35,9,9,0,1284,516.0,1.5
RL,24572,Lvl,Gtl,Veenker,Norm,1Fam,2Story,1977,1977,BrkFace,864.0,140,70,4,3,WD ,150000,27,16,12,4,2944,702.0,3.0
RL,9056,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,2004,2004,None,403.0,100,35,4,3,WD ,178000,40,12,20,4,1414,353.5,2.5
RL,12320,HLS,Gtl,Crawfor,Norm,1Fam,2Story,1932,1990,None,579.0,0,0,4,3,WD ,199500,49,9,9,8,1609,318.5,1.5
RL,8238,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,1997,1998,None,400.0,421,72,3,3,WD ,183500,30,9,9,3,1525,756.5,2.5
RM,6000,Lvl,Gtl,IDOTRR,Norm,1Fam,SLvl,1967,1967,None,288.0,0,180,3,3,WD ,126000,25,6,12,1,1656,440.5,1.5
RL,2529,Lvl,Gtl,NPkVill,Norm,Twnhs,1Story,1977,1977,None,440.0,0,38,3,2,WD ,148500,42,9,12,0,1055,716.5,2.0
RL,10800,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1939,2006,None,720.0,187,0,4,4,WD ,149000,35,12,9,0,1352,338.0,2.0
RL,2349,Lvl,Gtl,NPkVill,Norm,Twnhs,2Story,1977,1977,None,440.0,0,28,3,3,WD ,137900,30,9,12,3,1456,622.0,2.5
RL,10846,Lvl,Gtl,Veenker,Norm,TwnhsE,1Story,1993,1993,None,473.0,122,30,4,1,Con,324000,40,12,12,8,1719,1669.0,1.5
RL,5604,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1925,1950,None,0.0,0,0,3,2,WD ,98000,30,9,9,0,864,666.0,1.0
RM,1680,Lvl,Gtl,BrDale,Norm,Twnhs,2Story,1973,1973,BrkFace,264.0,52,0,3,2,WD ,103400,30,9,9,0,987,470.5,1.5
RL,6342,Lvl,Gtl,Sawyer,Feedr,1Fam,1.5Fin,1875,1996,None,0.0,0,0,3,2,WD ,94000,40,12,9,0,1020,390.0,1.0
RL,4590,Lvl,Gtl,NridgHt,Norm,Twnhs,1Story,2006,2006,Stone,627.0,156,73,4,2,WD ,209500,40,12,16,4,1554,789.0,2.0
RL,18062,HLS,Gtl,StoneBr,Norm,1Fam,2Story,2006,2006,BrkFace,758.0,204,34,5,5,New,545224,50,15,15,5,3390,764.0,3.5
RM,12900,Lvl,Gtl,OldTown,Norm,1Fam,2Story,1912,2009,None,0.0,344,0,4,3,WD ,159900,48,16,9,0,1560,390.0,1.5
RL,19138,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,1951,1951,None,400.0,0,0,3,2,WD ,141000,20,9,9,0,864,492.0,1.0
RL,8658,Lvl,Gtl,Gilbert,Norm,1Fam,2Story,2000,2000,None,431.0,0,0,3,3,WD ,215000,30,9,12,3,1889,857.0,2.5
RL,6897,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1962,2010,None,260.0,0,104,3,3,WD ,127000,40,12,9,0,1040,849.5,1.5
RL,9525,Lvl,Gtl,Edwards,Norm,1Fam,1Story,1954,1998,None,366.0,240,0,3,3,WD ,128000,35,9,9,0,1172,1063.0,1.0
FV,12853,Lvl,Gtl,Somerst,Norm,1Fam,1Story,2010,2010,None,852.0,160,192,4,1,New,267916,40,12,5,4,1418,1337.0,1.5
RM,6240,Lvl,Gtl,BrkSide,Norm,1Fam,1.5Fin,1931,1950,None,560.0,0,0,3,3,WD ,127500,36,9,6,4,1367,654.5,1.0
RL,7301,Lvl,Gtl,Edwards,Norm,1Fam,SFoyer,2003,2003,BrkFace,672.0,0,0,4,4,ConLD,198500,35,12,0,5,1922,0.0,3.0
RL,12090,Lvl,Gtl,NWAmes,Norm,1Fam,1Story,1981,1981,BrkFace,576.0,276,0,4,3,WD ,175500,36,12,12,3,1422,891.0,2.0
RL,8826,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,2000,2000,BrkFace,486.0,193,96,4,3,WD ,217500,35,12,12,3,1842,913.0,2.5
RM,8094,Lvl,Gtl,OldTown,Norm,1Fam,1.5Fin,1915,1950,None,572.0,160,0,3,4,WD ,149500,20,6,9,3,1962,444.0,1.5
RL,10710,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1966,2004,BrkFace,656.0,0,162,3,3,WD ,148800,35,12,9,3,1120,754.0,1.0
RL,16056,Lvl,Gtl,StoneBr,Norm,1Fam,2Story,2005,2006,Stone,716.0,214,108,5,4,New,556581,45,12,15,4,2868,1116.0,3.5
RL,8400,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1957,1957,None,442.0,114,0,3,3,WD ,156500,18,9,9,8,1478,503.0,1.5
RL,11250,Lvl,Gtl,CollgCr,Norm,1Fam,2Story,1995,1996,None,610.0,275,170,4,4,WD ,237000,35,16,16,3,1995,807.5,2.5
RL,7535,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1958,1985,None,297.0,12,285,3,2,WD ,120000,35,9,9,0,912,372.0,1.0
RL,12216,Lvl,Gtl,Gilbert,Norm,1Fam,1Story,2005,2005,None,388.0,120,23,4,3,WD ,203000,30,9,12,0,1326,1122.0,2.0
RL,3701,Lvl,Gtl,StoneBr,Norm,TwnhsE,1Story,1987,1987,None,461.0,120,70,3,2,WD ,130000,40,9,12,0,1204,595.5,2.0
RL,9760,Lvl,Mod,NAmes,Norm,1Fam,2Story,1964,1964,BrkFace,442.0,328,128,3,4,WD ,167900,36,9,9,0,1611,674.0,1.5
RL,9873,Lvl,Gtl,BrkSide,RRAn,2fmCon,1Story,1970,1970,BrkFace,576.0,0,288,3,3,WD ,129000,20,9,9,0,960,874.5,1.0
RL,10011,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1957,1996,BrkFace,447.0,0,0,4,2,WD ,134450,30,9,9,2,1236,715.0,1.0
RL,25339,Lvl,Gtl,Sawyer,Norm,1Fam,1Story,1918,2007,None,576.0,0,0,4,3,WD ,112000,35,12,9,0,1416,408.0,2.0
RL,8883,Lvl,Gtl,SawyerW,Norm,1Fam,2Story,1988,1988,BrkFace,619.0,108,48,4,3,WD ,207000,35,12,12,3,1873,608.0,2.5
RM,3000,Bnk,Gtl,OldTown,Norm,Duplex,2Story,1922,1950,None,0.0,0,56,3,4,WD ,62500,5,9,6,0,2128,520.0,2.0
RL,2448,Lvl,Gtl,NridgHt,Norm,Twnhs,2Story,2003,2004,Stone,474.0,0,27,4,2,WD ,154000,35,12,12,0,1626,668.5,2.5
RL,7100,Lvl,Gtl,NAmes,Norm,1Fam,1Story,1957,1957,None,308.0,0,0,3,2,WD ,129900,35,9,9,0,816,762.0,1.0
